Review
"Aplikasi gojek ini lama-lama bikin gak nyaman,udah mah gak pernah dapet voucher diskon buat pesen makanan,udah gitu aplikasi nya loading terus sampe mau pesen aja gak bisa,padahal jaringan saya bagus malah di bilang 'Yah internet nya mati' TOLONG DI PERBAIKI LAGI DEMI KENYAMANAN CUSTOMER !!!!"
"Saat saya melakukan pemesanan yang tidak di sengaja , saya tidak dapat membatalkan (cancel) pesanan. Selain itu, ketika saya menekan tombol checkout, pesanan langsung berhasil diproses tanpa adanya permintaan memasukkan PIN terlebih dahulu. dan ongkir dan biaya peranannya yang tidak masuk akal ini saya seperti membeli ongkir dari pada membeli produk nya!!! saya sudah menghubungi Customer Service tapi tidak ada solusi"
"pengunaan transportasi oke,tapi saat menunggu dengan harga standar sedikit lama,nah saya beralih ke yg cepet walaupun nambah harga tetep saja tidak ada,meski klo dilihat map juga ramai driver yg di sekitar, kadang malah di cancel malah nambah lama lagi mana pernah nunggu 1jam berdiri mana tidak ada buat laporan/bantuan hanya pesan cepat doang"
"Aplikasi ini sangat membantu untuk bepergian dan memesan makanan dengan cepat. Drivernya ramah dan pesanan makanan biasanya sampai dalam kondisi baik. Namun terkadang ada jeda sedikit lama saat memuat halaman pada jam sibuk. Secara keseluruhan, pengalaman menggunakan Gojek cukup memuaskan!"
"saya membeli minuman dari aplikasi ini dengan harga cukup mahal dan lupa untuk menambahkan voucher karena hp sedikit error. ketika saya langsung membatalkan, biasanya bisa dibatalkan tetapi pada kasus ini tidak bisa. saya mau chat restonya juga gabisa, tidak ada fitur untuk mengetik dan menelpon restonya. saya coba chat costumer service nya juga tidak mendapatkan solusi yang maksimal."
"minta tolong dong untuk driver gocarnya di seleksi lagi, untuk bisa ramah kepada penumpang, dan tidak kbnyakan mengeluh masalah macet atau jalan sempit memang membosankan tapi setidaknya tidak kbnyakan mengeluh saat membawa penumpang apalagi di saat urgent. kebanyakan driver gocar skrng mengeluh didepan customer nya, membuat customer tidak nyaman mendengar nya."
"Harusnya kalo ga ada driver dlm waktu 15-30 menit orderan gofood otomatis cancel, ini sejam lebih ditambah waktu delay ++ belasan menit... gila aja orang laper disuruh nunggu sejam lebih delay berulang kali tp sistem ga otomatis cancel. Help support juga ga berguna jawabnya cuma customer ga bisa cancel. Amburadul dah!!!"
"kecewa sih. selalu tepat waktu dalam pembayaran Gopaylater dan udah bertahun, malah dicurigai dan sekarang diblokir gopaylater saya. dimana tindak mencurigakannya? padahal 1 hari bukan hanya sekali pakai jasa aplikasi ini. sekarang saya beralih ke aplikasi sebelah lebih konsisten juga dalam promonya. bye !!!!"
saya merasa bahwa fitur langganan gojek plus sudah bagus akan tetapi menurut saya gojek plus harus sedikit memiliki opsi untuk memberikan pemberitahuan kepada penggunaan bahwa fitur langganan telah habis dengan opsi berhenti langganan setelah ini dan lanjut langganan setelah ini. ini sekedar saran karena bagi pengguna yang sering lupa dalam fakta bahwa mereka langganan akan tetapi belakangan tidak menggunakannya dan tiba² mereka yang merasa punya gopay lebih tiba² gopay mereka sdh habis.
"pertama kalinya kasih rating app walau udah lamaaaaa pake, udah terlalu banyak problem si, mulai dari ganti armada tanpa pemberitahuan, ngiklan di aplikasi lain yg terkesan maksa dgn sistem ngelink nya, dan yg parah tarif nih, bener si waktu ujan, tapi sampe naik 3x lipat dari harga normal, getok harga sekali udah kaya pasar tradisional yg mo kehilangan pelanggan,,, hadeh"
"tolong aplikasi di perbaiki. alamat driver tdk sama dengan map kita.tlpn tdk bisa masuk, misscall tdk kedengeran.dari testimoni driver mareka banyak yng tdk mau narik krn macet. giliran narik, banyak ngeluh, kesal, krn macet. tlng kasih paham bawa kita sebagai penumpang juga susah klo macet, Ongkos naik dua kali lipat. juga capek, dan terlambat. klo bisa kebersihan helm lebih jaga. Kadang-kadang helm rusak luar dalam. hitam krn kotor dan basa.pokoknya makin buruk ."
